Date,New Customers,Products Sold,PPC Incremental,Total Customers,Total Products,PPC Total,New SA Accounts,New CA Accounts,New Credit Cards,New Dmat A/c,Average SA Balance,Average CA Balance,New Loans,Repayments,Total Loans,Fresh SMA1,Fresh SMA2,Fresh NPA,Recovery
1/31/2017,499.0,554.0,1.1,86796.7,112980.2,1.3,221.0,84.0,36.0,34.0,13401.3,42072.0,8905000.0,5373000.0,1592709722.2,861700.0,351510.0,196560.0,19853.7
2/28/2017,375.0,412.0,1.1,87265.3,113503.4,1.3,164.0,61.0,23.0,23.0,13478.0,42216.0,8970000.0,5391000.0,1597098666.7,903450.0,350310.0,225000.0,24294.3
3/31/2017,454.0,497.0,1.1,87673.0,113958.1,1.3,197.0,74.0,26.0,33.0,13531.7,42120.0,9030000.0,5325000.0,1601082722.2,874450.0,309870.0,210090.0,22071.3
4/30/2017,386.0,424.0,1.1,88234.8,114575.2,1.3,165.0,63.0,30.0,22.0,13410.4,42056.5,8560000.0,5154000.0,1605503000.0,866850.0,364530.0,209400.0,21785.7
5/31/2017,540.0,586.0,1.1,88724.8,115107.3,1.3,216.0,93.0,33.0,29.0,13429.6,42313.3,9760000.0,5622000.0,1609875421.1,1009700.0,341220.0,230850.0,23842.8
6/30/2017,447.0,501.0,1.1,89312.7,115757.2,1.3,200.0,71.0,25.0,34.0,13426.6,42132.7,8490000.0,5055000.0,1614462882.4,786400.0,327600.0,214110.0,21733.5
7/31/2017,297.0,343.0,1.2,89771.8,116278.8,1.3,145.0,57.0,16.0,20.0,13524.0,42081.9,8355000.0,5106000.0,1618829882.4,800750.0,308550.0,207000.0,21753.6
8/31/2017,460.0,511.0,1.1,90345.1,116896.9,1.3,201.0,69.0,30.0,33.0,13386.0,42267.8,9420000.0,5733000.0,1623031789.5,972450.0,353550.0,235110.0,22947.6
9/30/2017,428.0,465.0,1.1,90890.0,117499.1,1.3,183.0,73.0,33.0,27.0,13507.8,42336.0,8505000.0,5142000.0,1627385470.6,819250.0,320670.0,205560.0,19449.9
10/31/2017,475.0,511.0,1.1,91434.3,118093.1,1.3,204.0,71.0,32.0,25.0,13393.7,42144.0,8850000.0,5445000.0,1631544333.3,882050.0,358500.0,219540.0,22465.5
11/30/2017,526.0,570.0,1.1,92033.3,118741.8,1.3,226.0,80.0,39.0,35.0,13424.3,42000.0,9135000.0,5349000.0,1635980888.9,933100.0,336960.0,211590.0,21480.3
12/31/2017,276.0,318.0,1.2,92516.0,119278.8,1.3,120.0,46.0,18.0,16.0,13402.2,42259.8,8515000.0,5064000.0,1640421705.9,911450.0,315060.0,187500.0,19115.7
1/31/2018,426.0,468.0,1.1,92969.2,119775.4,1.3,190.0,68.0,25.0,34.0,13458.6,41904.0,9560000.0,5610000.0,1644984947.4,968500.0,367980.0,229650.0,23543.1
2/28/2018,380.0,426.0,1.1,93409.9,120265.6,1.3,177.0,69.0,25.0,30.0,13386.0,42031.1,8400000.0,5079000.0,1649356058.8,812700.0,333870.0,197280.0,18913.5
3/31/2018,474.0,504.0,1.1,93939.8,120842.8,1.3,194.0,74.0,33.0,28.0,13426.6,42285.2,8345000.0,4980000.0,1653315117.6,898400.0,328710.0,196380.0,19908.6
4/30/2018,439.0,483.0,1.1,94547.8,121499.9,1.3,195.0,72.0,21.0,31.0,13485.7,41904.0,8980000.0,5454000.0,1657788555.6,896600.0,342150.0,209280.0,21428.4
5/31/2018,476.0,505.0,1.1,94970.7,121962.6,1.3,216.0,70.0,26.0,31.0,13502.2,41767.6,9575000.0,5604000.0,1662059526.3,978250.0,373740.0,226590.0,22726.5
6/30/2018,403.0,438.0,1.1,95514.5,122552.3,1.3,161.0,70.0,23.0,26.0,13402.2,41878.6,8420000.0,5184000.0,1666508117.6,905350.0,331080.0,223020.0,22431.9
7/31/2018,528.0,567.0,1.1,96096.4,123185.8,1.3,226.0,80.0,31.0,32.0,13386.0,42120.0,9200000.0,5556000.0,1670812444.4,945800.0,322410.0,209610.0,22493.4
8/31/2018,418.0,451.0,1.1,96651.7,123783.1,1.3,191.0,74.0,23.0,29.0,13447.3,41952.0,8895000.0,5484000.0,1675255944.4,910050.0,363210.0,219480.0,22671.6
9/30/2018,429.0,475.0,1.1,97173.7,124363.5,1.3,189.0,71.0,36.0,25.0,13418.5,42183.5,8560000.0,5082000.0,1679681235.3,843350.0,320760.0,188130.0,19610.4
10/31/2018,364.0,414.0,1.1,97615.2,124861.8,1.3,163.0,68.0,25.0,26.0,13524.0,42085.9,9275000.0,5685000.0,1683744736.8,922800.0,367740.0,221280.0,22534.2
11/30/2018,532.0,580.0,1.1,98169.4,125476.4,1.3,231.0,84.0,32.0,37.0,13353.5,42259.8,8490000.0,5163000.0,1688169588.2,833750.0,355770.0,209370.0,20737.2
12/31/2018,495.0,533.0,1.1,98767.4,126127.2,1.3,219.0,74.0,30.0,33.0,13410.4,42107.3,8515000.0,5172000.0,1692504470.6,850900.0,342240.0,191940.0,19882.2
1/31/2019,453.0,498.0,1.1,99360.3,126765.8,1.3,194.0,71.0,32.0,31.0,13444.1,42063.2,9580000.0,5658000.0,1696968421.1,988850.0,350580.0,225690.0,21683.1
2/28/2019,422.0,468.0,1.1,99890.1,127344.0,1.3,181.0,62.0,29.0,27.0,13515.9,42005.6,8625000.0,5064000.0,1701486823.5,869100.0,325200.0,207600.0,21376.8
3/31/2019,463.0,502.0,1.1,100458.7,127967.5,1.3,201.0,73.0,29.0,34.0,13442.8,42005.6,8340000.0,4971000.0,1705614000.0,839400.0,333630.0,210210.0,22006.5
4/30/2019,493.0,538.0,1.1,101027.5,128583.1,1.3,205.0,80.0,33.0,28.0,13509.5,42017.7,9635000.0,5679000.0,1710135315.8,985500.0,382050.0,202860.0,20078.1
5/31/2019,418.0,461.0,1.1,101546.9,129161.6,1.3,179.0,74.0,31.0,30.0,13363.0,42120.0,8950000.0,5388000.0,1714437333.3,912150.0,338550.0,203640.0,20511.9
6/30/2019,360.0,403.0,1.1,102123.0,129794.5,1.3,167.0,57.0,19.0,23.0,13450.9,42107.3,8655000.0,5163000.0,1719019411.8,885000.0,325770.0,190680.0,19132.5
7/31/2019,514.0,557.0,1.1,102642.0,130367.0,1.3,233.0,79.0,35.0,36.0,13400.5,42063.2,9610000.0,5667000.0,1723406473.7,984750.0,390600.0,220740.0,21903.6
8/31/2019,455.0,493.0,1.1,103120.8,130892.3,1.3,208.0,72.0,29.0,31.0,13394.1,41827.8,8495000.0,4956000.0,1727915823.5,815100.0,314130.0,200070.0,19394.1
9/30/2019,475.0,518.0,1.1,103805.0,131628.6,1.3,211.0,82.0,34.0,33.0,13554.7,42072.0,8865000.0,5337000.0,1732293944.4,903300.0,358620.0,228180.0,23261.1
10/31/2019,447.0,499.0,1.1,104265.8,132144.8,1.3,203.0,78.0,29.0,32.0,13473.2,42131.4,9610000.0,5649000.0,1736530052.6,1011250.0,371610.0,220920.0,22328.1
