Date,NewCustomers,ProductsSold,PPC-Incremental,TotalCustomers,TotalProducts,PPC-Total,NewSAAccounts,NewCAAccounts,NewCreditCards,NewDmatA/c,AverageSABalance,AverageCABalance,NewLoans,Repayments,Total Loans,Fresh SMA1,Fresh SMA2,Fresh NPA,Recovery
4/21/2015, 28.0 , 28.0 , 1.0 ," 75,319.0 "," 100,357.0 ",1.332426081,14,3,1,3," 13,800.0 ",41904,545000,309000,1503210000,59950,18540,15450,1545
4/22/2015, 25.0 , 28.0 , 1.1 ," 75,344.0 "," 100,385.0 ",1.332355596,13,3,2,1," 13,662.0 ",42336,535000,309000,1503436000,53500,15450,12360,1359.6
4/23/2015, 30.0 , 31.0 , 1.0 ," 75,374.0 "," 100,416.0 ",1.33223658,13,4,1,2," 13,662.0 ",42336,545000,315000,1503666000,65400,25200,9450,756
4/24/2015, 13.0 , 18.0 , 1.4 ," 75,387.0 "," 100,434.0 ",1.332245613,8,2,2,0," 13,248.0 ",41472,545000,288000,1503923000,49050,20160,14400,1296
4/27/2015, 12.0 , 14.0 , 1.2 ," 75,399.0 "," 100,448.0 ",1.33221926,7,2,0,1," 13,524.0 ",42336,485000,309000,1504099000,48500,24720,15450,1390.5
4/28/2015, 16.0 , 17.0 , 1.1 ," 75,415.0 "," 100,465.0 ",1.332162037,6,3,2,1," 13,248.0 ",41040,485000,309000,1504275000,58200,15450,12360,1483.2
4/29/2015, 2.0 , 4.0 , 2.0 ," 75,417.0 "," 100,469.0 ",1.332179747,2,1,0,0," 13,662.0 ",41472,450000,285000,1504440000,45000,17100,14250,1710
4/30/2015, 26.0 , 27.0 , 1.0 ," 75,443.0 "," 100,496.0 ",1.332078523,11,5,1,1," 13,662.0 ",41904,520000,300000,1504660000,52000,18000,12000,1080
5/1/2015, 11.0 , 11.0 , 1.0 ," 75,454.0 "," 100,507.0 ",1.332030111,3,2,1,1," 13,524.0 ",41904,475000,273000,1504862000,42750,16380,10920,1201.2
5/4/2015, 30.0 , 34.0 , 1.1 ," 75,484.0 "," 100,541.0 ",1.331951142,15,7,2,3," 13,524.0 ",41904,520000,294000,1505088000,41600,14700,8820,1058.4
5/5/2015, 48.0 , 49.0 , 1.0 ," 75,532.0 "," 100,590.0 ",1.331753429,18,5,1,2," 13,248.0 ",42768,485000,270000,1505303000,58200,13500,8100,729
5/6/2015, 30.0 , 30.0 , 1.0 ," 75,562.0 "," 100,620.0 ",1.331621715,12,5,2,2," 13,800.0 ",42336,465000,300000,1505468000,41850,18000,12000,960
5/7/2015, 1.0 , 3.0 , 3.0 ," 75,563.0 "," 100,623.0 ",1.331643794,1,0,0,0," 13,110.0 ",41040,510000,330000,1505648000,51000,26400,16500,1320
5/8/2015, 36.0 , 37.0 , 1.0 ," 75,599.0 "," 100,660.0 ",1.331499094,11,6,3,1," 13,110.0 ",43200,460000,282000,1505826000,46000,19740,14100,1692
5/11/2015, 11.0 , 12.0 , 1.1 ," 75,610.0 "," 100,672.0 ",1.331464092,6,2,0,1," 13,110.0 ",41472,530000,285000,1506071000,42400,14250,14250,1567.5
5/12/2015, 21.0 , 26.0 , 1.2 ," 75,631.0 "," 100,698.0 ",1.331438167,8,3,1,1," 13,800.0 ",42768,510000,294000,1506287000,61200,14700,14700,1470
5/13/2015, 31.0 , 31.0 , 1.0 ," 75,662.0 "," 100,729.0 ",1.331302371,11,5,2,2," 13,386.0 ",41904,465000,303000,1506449000,46500,24240,9090,1090.8
5/14/2015, 43.0 , 44.0 , 1.0 ," 75,705.0 "," 100,773.0 ",1.331127402,18,8,4,4," 13,524.0 ",41040,535000,270000,1506714000,48150,16200,10800,1296
5/15/2015, 35.0 , 36.0 , 1.0 ," 75,740.0 "," 100,809.0 ",1.330987589,13,6,3,2," 13,662.0 ",42768,480000,306000,1506888000,52800,15300,9180,1009.8
5/18/2015, 15.0 , 17.0 , 1.1 ," 75,755.0 "," 100,826.0 ",1.330948452,6,3,1,1," 13,800.0 ",43200,475000,309000,1507054000,52250,15450,9270,834.3
5/19/2015, 13.0 , 18.0 , 1.4 ," 75,768.0 "," 100,844.0 ",1.33095766,7,2,1,2," 13,662.0 ",41904,505000,315000,1507244000,40400,22050,12600,1008
5/20/2015, 9.0 , 13.0 , 1.4 ," 75,777.0 "," 100,857.0 ",1.330971139,6,2,1,1," 13,800.0 ",41904,465000,306000,1507403000,55800,24480,9180,826.2
5/21/2015, 20.0 , 21.0 , 1.1 ," 75,797.0 "," 100,878.0 ",1.330897001,8,4,2,2," 13,248.0 ",43200,520000,279000,1507644000,62400,13950,8370,920.7
5/22/2015, 30.0 , 31.0 , 1.0 ," 75,827.0 "," 100,909.0 ",1.330779274,12,6,2,2," 13,800.0 ",41904,450000,288000,1507806000,40500,20160,11520,921.6
5/25/2015, 37.0 , 37.0 , 1.0 ," 75,864.0 "," 100,946.0 ",1.330617948,14,7,2,3," 13,248.0 ",42768,545000,324000,1508027000,59950,22680,9720,972
5/26/2015, -   , 2.0 , NULL ," 75,864.0 "," 100,948.0 ",1.330644311,1,0,0,0," 13,386.0 ",43200,545000,330000,1508242000,49050,26400,9900,990
5/27/2015, 7.0 , 7.0 , 1.0 ," 75,871.0 "," 100,955.0 ",1.330613805,3,1,0,0," 13,662.0 ",43200,475000,321000,1508396000,52250,25680,12840,1412.4
5/28/2015, 11.0 , 12.0 , 1.1 ," 75,882.0 "," 100,967.0 ",1.330579057,5,2,0,1," 13,110.0 ",43200,530000,315000,1508611000,63600,22050,9450,945
5/29/2015, 48.0 , 50.0 , 1.0 ," 75,930.0 "," 101,017.0 ",1.330396418,22,7,1,1," 13,524.0 ",41040,510000,279000,1508842000,40800,16740,13950,1674
6/1/2015, 15.0 , 19.0 , 1.3 ," 75,945.0 "," 101,036.0 ",1.33038383,8,3,1,2," 13,248.0 ",43200,515000,306000,1509051000,61800,15300,9180,918
6/2/2015, 35.0 , 38.0 , 1.1 ," 75,980.0 "," 101,074.0 ",1.330271124,19,6,2,1," 13,662.0 ",43200,465000,288000,1509228000,51150,23040,11520,1036.8
6/3/2015, 7.0 , 8.0 , 1.1 ," 75,987.0 "," 101,082.0 ",1.330253859,2,1,0,1," 13,386.0 ",41040,530000,273000,1509485000,42400,16380,10920,1092
6/4/2015, 34.0 , 35.0 , 1.0 ," 76,021.0 "," 101,117.0 ",1.330119309,14,4,2,3," 13,248.0 ",42768,530000,327000,1509688000,63600,16350,9810,784.8
6/5/2015, 3.0 , 5.0 , 1.7 ," 76,024.0 "," 101,122.0 ",1.33013259,2,1,0,0," 13,110.0 ",41904,505000,318000,1509875000,40400,22260,9540,763.2
6/8/2015, 10.0 , 13.0 , 1.3 ," 76,034.0 "," 101,135.0 ",1.330128627,6,2,1,1," 13,800.0 ",41904,495000,276000,1510094000,39600,16560,11040,993.6
6/9/2015, 8.0 , 12.0 , 1.5 ," 76,042.0 "," 101,147.0 ",1.330146498,4,1,0,1," 13,386.0 ",41904,505000,303000,1510296000,40400,18180,9090,1090.8
6/10/2015, 4.0 , 6.0 , 1.5 ," 76,046.0 "," 101,153.0 ",1.330155432,2,1,0,0," 13,248.0 ",42336,465000,327000,1510434000,46500,26160,16350,1635
6/11/2015, 23.0 , 27.0 , 1.2 ," 76,069.0 "," 101,180.0 ",1.330108191,9,3,2,2," 13,386.0 ",41040,465000,315000,1510584000,41850,18900,9450,850.5
6/12/2015, 37.0 , 40.0 , 1.1 ," 76,106.0 "," 101,220.0 ",1.329987123,19,5,4,4," 13,110.0 ",41040,505000,273000,1510816000,45450,19110,13650,1365
6/15/2015, 26.0 , 26.0 , 1.0 ," 76,132.0 "," 101,246.0 ",1.329874429,8,4,3,2," 13,248.0 ",41904,550000,318000,1511048000,60500,15900,9540,858.6
6/16/2015, 17.0 , 18.0 , 1.1 ," 76,149.0 "," 101,264.0 ",1.329813917,9,3,1,1," 13,110.0 ",43200,460000,291000,1511217000,50600,17460,11640,1280.4
6/17/2015, 13.0 , 15.0 , 1.2 ," 76,162.0 "," 101,279.0 ",1.329783882,5,2,0,1," 13,110.0 ",42336,505000,273000,1511449000,60600,21840,10920,1092
6/18/2015, 22.0 , 24.0 , 1.1 ," 76,184.0 "," 101,303.0 ",1.329714901,10,4,2,2," 13,662.0 ",41904,530000,321000,1511658000,47700,22470,9630,770.4
6/19/2015, 24.0 , 27.0 , 1.1 ," 76,208.0 "," 101,330.0 ",1.32965043,8,4,1,1," 13,248.0 ",41904,500000,276000,1511882000,55000,13800,13800,1104
6/22/2015, 37.0 , 42.0 , 1.1 ," 76,245.0 "," 101,372.0 ",1.329556036,21,6,4,2," 13,386.0 ",41904,490000,315000,1512057000,53900,25200,9450,850.5
6/23/2015, 49.0 , 52.0 , 1.1 ," 76,294.0 "," 101,424.0 ",1.3293837,20,10,3,3," 13,524.0 ",41904,450000,327000,1512180000,54000,26160,9810,882.9
6/24/2015, 3.0 , 8.0 , 2.7 ," 76,297.0 "," 101,432.0 ",1.329436282,3,2,0,0," 13,662.0 ",41904,540000,270000,1512450000,48600,21600,13500,1485
6/25/2015, 14.0 , 18.0 , 1.3 ," 76,311.0 "," 101,450.0 ",1.329428261,7,2,1,1," 13,386.0 ",42768,545000,330000,1512665000,43600,26400,16500,1815
6/26/2015, 5.0 , 8.0 , 1.6 ," 76,316.0 "," 101,458.0 ",1.329445988,3,1,0,1," 13,524.0 ",41904,520000,297000,1512888000,62400,17820,14850,1188
6/29/2015, 9.0 , 13.0 , 1.4 ," 76,325.0 "," 101,471.0 ",1.329459548,6,2,0,1," 13,248.0 ",43200,465000,273000,1513080000,37200,19110,8190,982.8
6/30/2015, 13.0 , 14.0 , 1.1 ," 76,338.0 "," 101,485.0 ",1.329416542,5,3,1,1," 13,386.0 ",41040,460000,279000,1513261000,46000,22320,11160,1227.6
7/1/2015, 44.0 , 45.0 , 1.0 ," 76,382.0 "," 101,530.0 ",1.329239873,18,7,3,3," 13,110.0 ",42768,515000,324000,1513452000,61800,16200,12960,1166.4
7/2/2015, 10.0 , 12.0 , 1.2 ," 76,392.0 "," 101,542.0 ",1.329222955,5,2,1,1," 13,386.0 ",41904,510000,273000,1513689000,45900,16380,8190,737.1
7/3/2015, 45.0 , 50.0 , 1.1 ," 76,437.0 "," 101,592.0 ",1.329094548,17,7,5,5," 13,248.0 ",42336,550000,300000,1513939000,49500,18000,9000,990
7/6/2015, 22.0 , 23.0 , 1.0 ," 76,459.0 "," 101,615.0 ",1.329012935,9,3,1,1," 13,800.0 ",41040,480000,327000,1514092000,38400,19620,9810,784.8
7/7/2015, 4.0 , 5.0 , 1.3 ," 76,463.0 "," 101,620.0 ",1.329008802,2,1,0,0," 13,248.0 ",42768,550000,312000,1514330000,49500,24960,15600,1404
7/8/2015, 30.0 , 33.0 , 1.1 ," 76,493.0 "," 101,653.0 ",1.328918986,10,5,2,3," 13,524.0 ",42336,540000,291000,1514579000,43200,14550,11640,1047.6
7/9/2015, 39.0 , 42.0 , 1.1 ," 76,532.0 "," 101,695.0 ",1.328790571,18,4,2,3," 13,800.0 ",42336,475000,285000,1514769000,57000,17100,8550,769.5
7/10/2015, 41.0 , 45.0 , 1.1 ," 76,573.0 "," 101,740.0 ",1.328666762,22,5,3,4," 13,662.0 ",41904,490000,303000,1514956000,39200,21210,15150,1515
7/13/2015, 2.0 , 4.0 , 2.0 ," 76,575.0 "," 101,744.0 ",1.328684296,1,0,0,0," 13,524.0 ",42768,500000,288000,1515168000,50000,20160,11520,1382.4
7/14/2015, 39.0 , 42.0 , 1.1 ," 76,614.0 "," 101,786.0 ",1.328556139,18,7,3,1," 13,662.0 ",41904,455000,303000,1515320000,50050,24240,9090,999.9
7/15/2015, 17.0 , 22.0 , 1.3 ," 76,631.0 "," 101,808.0 ",1.328548499,11,4,1,2," 13,524.0 ",43200,520000,309000,1515531000,52000,21630,12360,1236
7/16/2015, 15.0 , 18.0 , 1.2 ," 76,646.0 "," 101,826.0 ",1.328523341,7,3,1,1," 13,524.0 ",41472,495000,321000,1515705000,44550,22470,12840,1155.6
7/17/2015, 37.0 , 39.0 , 1.1 ," 76,683.0 "," 101,865.0 ",1.328390908,12,5,3,4," 13,800.0 ",41472,545000,309000,1515941000,65400,24720,12360,1236
7/20/2015, 44.0 , 46.0 , 1.0 ," 76,727.0 "," 101,911.0 ",1.328228655,15,5,5,2," 13,524.0 ",41040,490000,279000,1516152000,49000,19530,11160,1339.2
7/21/2015, 34.0 , 35.0 , 1.0 ," 76,761.0 "," 101,946.0 ",1.328096299,14,7,1,2," 13,524.0 ",41040,535000,309000,1516378000,64200,21630,12360,1359.6
7/22/2015, 16.0 , 19.0 , 1.2 ," 76,777.0 "," 101,965.0 ",1.328066999,7,3,1,2," 13,386.0 ",42768,500000,321000,1516557000,55000,22470,9630,770.4
7/23/2015, 17.0 , 21.0 , 1.2 ," 76,794.0 "," 101,986.0 ",1.328046462,10,3,0,2," 13,386.0 ",41040,450000,312000,1516695000,49500,15600,15600,1248
7/24/2015, 38.0 , 40.0 , 1.1 ," 76,832.0 "," 102,026.0 ",1.327910246,15,7,2,2," 13,110.0 ",41040,530000,312000,1516913000,53000,24960,9360,748.8
7/27/2015, 13.0 , 18.0 , 1.4 ," 76,845.0 "," 102,044.0 ",1.327919839,8,3,1,1," 13,524.0 ",42768,500000,315000,1517098000,55000,18900,12600,1386
7/28/2015, 31.0 , 34.0 , 1.1 ," 76,876.0 "," 102,078.0 ",1.32782663,11,5,1,3," 13,662.0 ",41472,540000,291000,1517347000,59400,17460,8730,960.3
7/29/2015, 6.0 , 7.0 , 1.2 ," 76,882.0 "," 102,085.0 ",1.327814053,3,1,0,0," 13,248.0 ",41904,535000,297000,1517585000,42800,14850,14850,1633.5
7/30/2015, 49.0 , 51.0 , 1.0 ," 76,931.0 "," 102,136.0 ",1.327631254,19,7,2,2," 13,110.0 ",41040,550000,276000,1517859000,60500,13800,11040,993.6
7/31/2015, 1.0 , 6.0 , 6.0 ," 76,932.0 "," 102,142.0 ",1.327691988,2,1,0,1," 13,524.0 ",41904,485000,279000,1518065000,43650,16740,8370,837
8/3/2015, 48.0 , 51.0 , 1.1 ," 76,980.0 "," 102,193.0 ",1.32752663,18,6,5,4," 13,524.0 ",41904,510000,324000,1518251000,40800,16200,9720,874.8
8/4/2015, 29.0 , 30.0 , 1.0 ," 77,009.0 "," 102,223.0 ",1.327416276,11,4,2,1," 13,662.0 ",42768,550000,291000,1518510000,44000,17460,11640,1047.6
8/5/2015, 46.0 , 46.0 , 1.0 ," 77,055.0 "," 102,269.0 ",1.327220816,17,8,4,1," 13,110.0 ",41904,535000,285000,1518760000,42800,19950,11400,1026
8/6/2015, 10.0 , 13.0 , 1.3 ," 77,065.0 "," 102,282.0 ",1.327217284,4,2,1,1," 13,800.0 ",42768,515000,297000,1518978000,61800,23760,14850,1485
8/7/2015, 22.0 , 22.0 , 1.0 ," 77,087.0 "," 102,304.0 ",1.327123899,10,3,1,2," 13,662.0 ",42768,470000,285000,1519163000,47000,17100,14250,1140
8/10/2015, 46.0 , 48.0 , 1.0 ," 77,133.0 "," 102,352.0 ",1.326954741,15,8,3,1," 13,524.0 ",42336,510000,318000,1519355000,51000,15900,9540,1049.4
8/11/2015, 16.0 , 20.0 , 1.3 ," 77,149.0 "," 102,372.0 ",1.326938781,9,2,2,2," 13,662.0 ",41472,525000,312000,1519568000,47250,15600,12480,1248
8/12/2015, 21.0 , 25.0 , 1.2 ," 77,170.0 "," 102,397.0 ",1.326901646,12,5,1,2," 13,110.0 ",43200,505000,306000,1519767000,55550,15300,12240,1468.8
8/13/2015, 10.0 , 15.0 , 1.5 ," 77,180.0 "," 102,412.0 ",1.326924074,7,2,1,0," 13,386.0 ",42768,470000,330000,1519907000,47000,23100,13200,1452
8/14/2015, 43.0 , 45.0 , 1.0 ," 77,223.0 "," 102,457.0 ",1.326767932,21,9,2,1," 13,662.0 ",42336,510000,276000,1520141000,40800,22080,13800,1104
8/17/2015, 41.0 , 45.0 , 1.1 ," 77,264.0 "," 102,502.0 ",1.326646304,15,7,4,2," 13,524.0 ",41472,495000,273000,1520363000,49500,13650,8190,655.2
8/18/2015, 6.0 , 9.0 , 1.5 ," 77,270.0 "," 102,511.0 ",1.326659764,3,2,0,1," 13,662.0 ",43200,490000,303000,1520550000,58800,18180,9090,999.9
8/19/2015, 27.0 , 28.0 , 1.0 ," 77,297.0 "," 102,539.0 ",1.326558599,8,6,3,1," 13,800.0 ",43200,495000,291000,1520754000,49500,14550,11640,1396.8
8/20/2015, 17.0 , 17.0 , 1.0 ," 77,314.0 "," 102,556.0 ",1.326486794,6,3,2,1," 13,662.0 ",41904,500000,312000,1520942000,60000,15600,12480,998.4
8/21/2015, 28.0 , 29.0 , 1.0 ," 77,342.0 "," 102,585.0 ",1.326381526,11,6,3,1," 13,800.0 ",41904,525000,297000,1521170000,63000,14850,11880,1069.2
8/24/2015, 21.0 , 26.0 , 1.2 ," 77,363.0 "," 102,611.0 ",1.326357561,9,5,1,2," 13,386.0 ",41904,500000,300000,1521370000,40000,18000,12000,1320
8/25/2015, 21.0 , 25.0 , 1.2 ," 77,384.0 "," 102,636.0 ",1.326320686,8,3,2,2," 13,524.0 ",42768,485000,273000,1521582000,38800,21840,13650,1228.5
8/26/2015, 16.0 , 21.0 , 1.3 ," 77,400.0 "," 102,657.0 ",1.326317829,8,4,1,1," 13,662.0 ",41040,500000,279000,1521803000,45000,13950,11160,1116
8/27/2015, 9.0 , 12.0 , 1.3 ," 77,409.0 "," 102,669.0 ",1.326318645,5,2,1,1," 13,248.0 ",41472,450000,330000,1521923000,49500,19800,16500,1320
8/28/2015, 29.0 , 30.0 , 1.0 ," 77,438.0 "," 102,699.0 ",1.326209355,14,3,2,2," 13,662.0 ",42768,505000,312000,1522116000,55550,15600,9360,936
8/31/2015, 13.0 , 14.0 , 1.1 ," 77,451.0 "," 102,713.0 ",1.326167512,5,2,1,0," 13,662.0 ",42336,520000,318000,1522318000,62400,15900,9540,858.6
9/1/2015, 43.0 , 44.0 , 1.0 ," 77,494.0 "," 102,757.0 ",1.325999432,18,6,4,4," 13,800.0 ",41904,485000,312000,1522491000,53350,21840,12480,1497.6
9/2/2015, 21.0 , 21.0 , 1.0 ," 77,515.0 "," 102,778.0 ",1.325911114,11,2,1,1," 13,524.0 ",41472,495000,330000,1522656000,59400,23100,9900,891
9/3/2015, 50.0 , 51.0 , 1.0 ," 77,565.0 "," 102,829.0 ",1.325713917,18,8,3,5," 13,248.0 ",41040,545000,279000,1522922000,59950,16740,13950,1255.5
9/4/2015, 30.0 , 32.0 , 1.1 ," 77,595.0 "," 102,861.0 ",1.325613764,11,4,2,3," 13,800.0 ",41472,495000,288000,1523129000,39600,17280,8640,691.2
9/7/2015, 43.0 , 44.0 , 1.0 ," 77,638.0 "," 102,905.0 ",1.325446302,21,9,1,4," 13,524.0 ",41904,505000,279000,1523355000,55550,19530,13950,1116
9/8/2015, 11.0 , 13.0 , 1.2 ," 77,649.0 "," 102,918.0 ",1.325425955,7,1,1,1," 13,386.0 ",42768,540000,282000,1523613000,48600,22560,14100,1551
9/9/2015, 43.0 , 46.0 , 1.1 ," 77,692.0 "," 102,964.0 ",1.325284457,16,8,2,1," 13,110.0 ",42768,545000,297000,1523861000,59950,20790,8910,712.8
9/10/2015, 37.0 , 42.0 , 1.1 ," 77,729.0 "," 103,006.0 ",1.325193943,21,8,2,4," 13,662.0 ",41904,485000,330000,1524016000,48500,19800,16500,1650
9/11/2015, 16.0 , 16.0 , 1.0 ," 77,745.0 "," 103,022.0 ",1.325127018,7,3,0,0," 13,386.0 ",42768,455000,330000,1524141000,40950,26400,16500,1815
9/14/2015, 25.0 , 29.0 , 1.2 ," 77,770.0 "," 103,051.0 ",1.325073936,12,5,2,2," 13,110.0 ",42768,525000,312000,1524354000,52500,21840,12480,1248
9/15/2015, 1.0 , 4.0 , 4.0 ," 77,771.0 "," 103,055.0 ",1.325108331,2,1,0,0," 13,110.0 ",41904,535000,327000,1524562000,53500,19620,13080,1177.2
9/16/2015, 14.0 , 19.0 , 1.4 ," 77,785.0 "," 103,074.0 ",1.325114097,10,2,1,1," 13,800.0 ",43200,460000,297000,1524725000,41400,23760,8910,891
9/17/2015, 9.0 , 10.0 , 1.1 ," 77,794.0 "," 103,084.0 ",1.325089339,4,1,1,1," 13,110.0 ",41472,480000,330000,1524875000,52800,19800,9900,990
9/18/2015, 8.0 , 9.0 , 1.1 ," 77,802.0 "," 103,093.0 ",1.325068764,3,2,0,0," 13,662.0 ",42336,475000,276000,1525074000,57000,22080,8280,993.6
9/21/2015, 33.0 , 38.0 , 1.2 ," 77,835.0 "," 103,131.0 ",1.324995182,12,8,1,4," 13,386.0 ",41904,490000,285000,1525279000,49000,22800,14250,1282.5
9/22/2015, 15.0 , 17.0 , 1.1 ," 77,850.0 "," 103,148.0 ",1.324958253,7,2,1,1," 13,524.0 ",42336,535000,300000,1525514000,64200,15000,15000,1500
9/23/2015, 8.0 , 10.0 , 1.3 ," 77,858.0 "," 103,158.0 ",1.324950551,5,1,1,1," 13,524.0 ",42336,465000,288000,1525691000,55800,14400,11520,1152
9/24/2015, 10.0 , 12.0 , 1.2 ," 77,868.0 "," 103,170.0 ",1.324934505,4,2,1,1," 13,248.0 ",41904,535000,321000,1525905000,64200,25680,16050,1926
9/25/2015, 45.0 , 50.0 , 1.1 ," 77,913.0 "," 103,220.0 ",1.324811007,23,8,4,2," 13,524.0 ",41904,535000,309000,1526131000,64200,18540,12360,1483.2
9/28/2015, 33.0 , 35.0 , 1.1 ," 77,946.0 "," 103,255.0 ",1.324699151,16,6,2,3," 13,110.0 ",43200,470000,300000,1526301000,47000,18000,12000,1320
9/29/2015, 20.0 , 22.0 , 1.1 ," 77,966.0 "," 103,277.0 ",1.32464151,11,2,1,1," 13,110.0 ",41472,465000,330000,1526436000,55800,26400,9900,792
9/30/2015, 41.0 , 43.0 , 1.0 ," 78,007.0 "," 103,320.0 ",1.32449652,18,7,2,3," 13,110.0 ",41904,505000,273000,1526668000,40400,21840,13650,1501.5
10/1/2015, 47.0 , 48.0 , 1.0 ," 78,054.0 "," 103,368.0 ",1.324313937,23,9,2,4," 13,662.0 ",43200,480000,300000,1526848000,43200,18000,12000,1200
10/2/2015, 48.0 , 52.0 , 1.1 ," 78,102.0 "," 103,420.0 ",1.324165834,21,6,4,2," 13,386.0 ",42768,485000,279000,1527054000,53350,22320,11160,1339.2
10/5/2015, 13.0 , 17.0 , 1.3 ," 78,115.0 "," 103,437.0 ",1.324163093,6,3,2,1," 13,662.0 ",41040,495000,282000,1527267000,54450,16920,11280,1353.6
10/6/2015, 24.0 , 28.0 , 1.2 ," 78,139.0 "," 103,465.0 ",1.324114719,10,3,1,1," 13,800.0 ",41040,540000,327000,1527480000,59400,22890,13080,1046.4
10/7/2015, 24.0 , 26.0 , 1.1 ," 78,163.0 "," 103,491.0 ",1.324040787,9,3,3,2," 13,386.0 ",42768,450000,297000,1527633000,36000,14850,14850,1336.5
10/8/2015, 28.0 , 30.0 , 1.1 ," 78,191.0 "," 103,521.0 ",1.323950327,14,4,2,2," 13,110.0 ",42768,450000,282000,1527801000,36000,14100,8460,1015.2
10/9/2015, 36.0 , 38.0 , 1.1 ," 78,227.0 "," 103,559.0 ",1.323826812,15,7,3,4," 13,800.0 ",42768,490000,306000,1527985000,49000,24480,15300,1377
10/12/2015, 50.0 , 52.0 , 1.0 ," 78,277.0 "," 103,611.0 ",1.323645515,19,6,2,2," 13,386.0 ",42336,500000,285000,1528200000,45000,17100,8550,940.5
10/13/2015, 18.0 , 19.0 , 1.1 ," 78,295.0 "," 103,630.0 ",1.323583881,9,2,1,2," 13,524.0 ",43200,480000,300000,1528380000,38400,21000,9000,720
10/14/2015, 19.0 , 22.0 , 1.2 ," 78,314.0 "," 103,652.0 ",1.323543683,9,2,2,1," 13,386.0 ",42336,475000,294000,1528561000,57000,23520,11760,1176
10/15/2015, 27.0 , 27.0 , 1.0 ," 78,341.0 "," 103,679.0 ",1.323432175,14,5,1,1," 13,110.0 ",42768,550000,285000,1528826000,55000,22800,8550,769.5
10/16/2015, 43.0 , 47.0 , 1.1 ," 78,384.0 "," 103,726.0 ",1.323305777,23,8,3,3," 13,662.0 ",42768,535000,279000,1529082000,64200,13950,13950,1255.5
10/19/2015, 31.0 , 34.0 , 1.1 ," 78,415.0 "," 103,760.0 ",1.323216221,12,7,2,1," 13,800.0 ",42768,480000,309000,1529253000,38400,18540,12360,1483.2
10/20/2015, 44.0 , 48.0 , 1.1 ," 78,459.0 "," 103,808.0 ",1.323085943,22,8,3,5," 13,800.0 ",42768,455000,324000,1529384000,54600,25920,12960,1296
10/21/2015, 27.0 , 28.0 , 1.0 ," 78,486.0 "," 103,836.0 ",1.322987539,9,3,2,3," 13,110.0 ",41904,525000,297000,1529612000,52500,14850,14850,1336.5
